%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,3,11,2,0.3,0,2,2,441.1122,1488237375480,442.8451,1488237377213,440.5782,1488237374953
3,3,12,2,0.3,1,2,0,444.2121,1488237378580,-1,-1,443.6452,1488237378019
3,3,13,2,0.3,1,0,5,447.2456,1488237381613,-1,-1,446.7126,1488237381087
3,3,14,2,0.3,1,1,0,450.3123,1488237384680,452.2123,1488237386580,449.7788,1488237384150
3,3,15,2,0.3,1,1,5,453.347,1488237387715,453.879,1488237388247,452.8123,1488237387186
3,3,16,2,0.3,1,1,0,456.4125,1488237390780,457.3792,1488237391747,455.8792,1488237390255
3,3,17,2,0.3,1,0,1,459.4487,1488237393816,-1,-1,458.946,1488237393319
3,3,18,2,0.3,1,0,4,462.5129,1488237396881,-1,-1,461.9794,1488237396353
3,3,19,2,0.3,1,0,6,465.5463,1488237399914,-1,-1,465.0131,1488237399386
3,3,20,2,0.3,1,0,7,468.6132,1488237402981,-1,-1,468.0466,1488237402419
3,3,21,2,0.3,1,1,6,471.6468,1488237406014,472.5801,1488237406948,471.1133,1488237405489
3,3,22,2,0.3,1,1,7,474.6476,1488237409015,475.3803,1488237409748,474.1469,1488237408519
3,3,23,2,0.3,1,0,2,477.7471,1488237412115,-1,-1,477.1805,1488237411553
3,3,24,2,0.3,1,2,2,480.7817,1488237415149,-1,-1,480.2473,1488237414621
3,3,25,2,0.3,0,2,6,483.8806,1488237418248,484.6142,1488237418982,483.3149,1488237417692
3,3,26,2,0.3,0,2,6,486.8812,1488237421249,487.6809,1488237422049,486.3808,1488237420753
3,3,27,2,0.3,1,0,1,489.948,1488237424316,-1,-1,489.4144,1488237423789
3,3,28,2,0.3,1,1,6,493.0146,1488237427382,493.5484,1488237427917,492.4812,1488237426855
3,3,29,2,0.3,1,1,1,496.0818,1488237430449,498.1815,1488237432549,495.5482,1488237429922
3,3,30,2,0.3,1,0,0,499.1484,1488237433516,-1,-1,498.6149,1488237432989
3,3,31,2,0.3,0,2,0,502.2159,1488237436583,503.6487,1488237438017,501.6818,1488237436058
3,3,32,2,0.3,1,2,6,505.2819,1488237439650,-1,-1,504.7175,1488237439092
3,3,33,2,0.3,1,2,1,508.3154,1488237442683,-1,-1,507.7821,1488237442156
3,3,34,2,0.3,1,0,2,511.3489,1488237445717,-1,-1,510.8156,1488237445191
3,3,35,2,0.3,0,1,1,514.3492,1488237448717,-1,-1,513.8491,1488237448222
3,3,36,2,0.3,1,0,3,517.3827,1488237451750,-1,-1,516.8492,1488237451222
3,3,37,2,0.3,1,0,0,520.4162,1488237454786,-1,-1,519.8828,1488237454257
3,3,38,2,0.3,1,2,2,523.483,1488237457851,-1,-1,522.9168,1488237457290
3,3,39,2,0.3,1,2,3,526.5499,1488237460917,-1,-1,525.9832,1488237460357
3,3,40,2,0.3,1,1,2,529.6166,1488237463984,531.1166,1488237465485,529.0499,1488237463424
3,3,41,2,0.3,1,0,6,532.6503,1488237467018,-1,-1,532.1167,1488237466491
3,4,0,1,0.3,1,3,1,537.3504,1488237471718,-1,-1,536.7838,1488237471155
3,4,1,1,0.3,1,0,4,540.4174,1488237474785,-1,-1,539.8505,1488237474225
3,4,2,1,0.3,1,0,2,543.451,1488237477819,-1,-1,542.9175,1488237477292
3,4,3,1,0.3,1,2,4,546.551,1488237480919,-1,-1,545.9843,1488237480358
3,4,4,1,0.3,1,0,3,549.5849,1488237483953,-1,-1,549.0519,1488237483424
3,4,5,1,0.3,1,0,7,552.6512,1488237487019,-1,-1,552.1202,1488237486493
3,4,6,1,0.3,1,0,1,555.718,1488237490086,-1,-1,555.1519,1488237489524
3,4,7,1,0.3,1,0,0,558.7516,1488237493119,-1,-1,558.2183,1488237492595
3,4,8,1,0.3,1,1,0,561.7858,1488237496153,562.4185,1488237496786,561.2518,1488237495626
3,4,9,1,0.3,1,0,5,564.8852,1488237499253,-1,-1,564.3194,1488237498695
3,4,10,1,0.3,0,1,5,567.9188,1488237502286,-1,-1,567.3855,1488237501762
3,4,11,1,0.3,0,1,5,570.9857,1488237505353,-1,-1,570.4189,1488237504794
3,4,12,1,0.3,1,0,3,574.0526,1488237508420,-1,-1,573.4859,1488237507860
3,4,13,1,0.3,1,2,5,577.0861,1488237511454,-1,-1,576.5526,1488237510926
3,4,14,1,0.3,1,2,3,580.1203,1488237514488,-1,-1,579.5862,1488237513961
3,4,15,1,0.3,0,1,3,583.2197,1488237517587,-1,-1,582.653,1488237517026
